Text,Sentiment
is getting married in Vegas in November by an Elvis impersonator am so happy!!!,negative
 tried to join the chat but the site would not let me sign in,negative
singing songs and filming movies  what i do best,negative
Their songs make me want to cry..,negative
While driving u come across aggressive driving behaviour by another driver. U should... Chase the car 2 tell the driver how to drive,positive
 Wasn`**** totally awesome?  Seeing the rebooted crew was so nice!,positive
"_d thats good to know, and I bet he looks just like you.",negative
_43 HAHHAHAH that really made me laugh out loudd! ahahahahahahahahah your fuunny!!,positive
i so wish i could get pregnant!!,negative
 im trying to fix it.. it doesnt do it  and its 'ahi dios mio' but u did good lol,negative
 Hiya! Missed you too! What have you been up to?,negative
Really sick,negative
"Thx, Robban  http://www.sk-gaming.com/match/17905",positive
 thanks JK!!!  Love ya to death,negative
Going to Al Ain.  Need to check out one store. Hope i find things that I`m looking for.,negative
So my parents are too busy making me feel like **** to realise that I`ve got worse and need to see a doctor again. No sleep sucks,positive
" G`night Jonathan! I tried to stay up, I really did. I can`t wait till ur in my timezone! Will be so much easier then!",negative
Prom is so over rated!! Irritated... Going to bed goodnight,negative
" english screwed up my overall percentage in X, in XII again and probably in adm tests too. **** happens.",negative
 i want chinese food really baaad.,negative
"_d you`re gonna take good care of that little baby and he`s gonna be a strong boy, that`s for sure",negative
 ha! lemme know what you find (tho I suspect it will be a lot of complaints). Have a peaceful night my friend,negative
  sad face.,negative
Aaaaahhhh.... Friday!!!! but.......     Funeral at 5,negative
Already misses ,negative
"_laura_LP ok thanks for the help! I hope they respond to me sooner or later, then! thanks!",negative
  out of commish for a few days in ATL with fam.  Just saw the updates to the .net website... Looks AWESOME!,positive
" awww that sucks  also, when i finish uni, you should totally have a mini housewarming. yes, work it around my schedule, LOL.",positive
 I would vote for you Miley but I live in Ireland  You`ll be fine  Good luck! Slï¿½n!(bye in irish ) Sorcha xxxx,negative
"Oh..Summer begins..yay..  The fighting, Crying and stress has started with the kids..It`s only been 3 hrs since they got out.",negative
I feel so deflated. No more doggy.,negative
 Omg really??  I sowwy! I`ll do it again! :-p I was tired when I did that this morning. :-p lol!,negative
"owww, back pain  hm, walmart or no? i could get cupcakes~",positive
Making my boyfriend look different.  He`s  cute no matter what. <3,negative
 LOL thx,negative
 well there go my peace corps prospects.,positive
" Good idea! I`ll have to remove all the old receipts, tissue paper and other nonsense before I can take a pic",negative
 i`m not in the best financial situation myself at the moment. i`m beyond broke. my money is spend as soon as i earn it atm,negative
"If recent experience is anything to go by, I fear I might be going off Indian food. This is not good, people. Not good",negative
 i wish i wasn`t all  bummed but i kinda am,positive
 Hey Mitchel when will you be live again? I didn`t get a chance to call you,negative
Back is SORE... should not have done that jump last night,negative
'Brides a la mode' pow wow first thing this morning   This past weekend`s lovely wedding fresh in my mind... pics soon!,positive
"such beautiful weather.. .why are u sick, baby ?  @ tanapolis",negative
 Yep. Nothing to worry about.,positive
back to work tomorrow  whose idea was it to go back on a saturday?!? Oh wait... that would be mine. FAIL.,negative
Wow what a storm we just had!!! Now no power,positive
getting my phone back this week  yeeeewww,positive
back from school  daily show was amazing  gonna watch it again later i think xD,negative
_breez Yer please do! Have a good day!,negative
 hot cuppa coffee made with milk & fortified with Monin`s Irish Coffee syrup! Bliss!,negative
right im out of here peeps.. i hope  fixes twitter mobile so i can tweet from the race.. m.twitter has been down for 4 days  #fail,negative
watching Army Wives and it always makes me cry,negative
productive day 1,negative
 gotta love the summer,positive
_buckley Good morning from sunny London...sounds like an oxymoron but happens to be true of today  Hurrah!,negative
 Cool. That`d be fantastic!,positive
" Yes, but I`m quite rusty.  I`m hoping to get back to it and 'tune up' my skills.  Tim plays guitar.  We threaten duets.",negative
Hey everybody!  hah this day is cool! just got back from walk with the dog...  OMGosh! Send me the link again please!,negative
 srry im not so interesting right now... stayed up til 6am cause my tummy hurt and now im pooped and have to work,positive
 me because I might not have enough money for college!!!,negative
I love how when I leave my laptop on my bed it creates a nice toasty spot,positive
 Does it start tomorrow?  I was going to book Sam on that and forgot,negative
" salt and vinegar, cheese and onion make your breathe smell lol  ****",negative
 You`re welcome. There!  I added you already!,negative
" Sorry to hear about your dude probs, what is it that`s too much?",negative
Discovered that Numpy arrays can hold values of any type.  Useful for manipulating arrays of numbers with uncertainties.,negative
"maybe i should take up drinking again, feel as if i have a ,massive hangover  still not ,yself today",negative
TODAY FRIDAY: I really hope you will read my messages here and reply to me soon. I could not reach you by phone before you go to work.,negative
 whatever i know you like it.  HAHAHHAH!,negative
oh no! my fun weekend with friends is gone! my mother has made a family weekend of it!  ****,negative
Good morning twitterland. Happy Monday,negative
thanks timmy.  turns out he has strep and a high fever.,negative
" oh, that is very nice!! I will do something nice next week ~ going to Madrid next weekend for few days",negative
keeping it chilled.,negative
what a beautiful day not to got to my first class,negative
 Fabulous. And I didn`t get that pic  Gmail be acting the fool sometimes. Can u DM me it?,positive
_ that sucks!,positive
 yes it does,positive
_datti Thanks sankar for ur wishes,positive
"I love waking up and thinking it`s a weekday, but then realizing it`s the weekend.",positive
" sorry bout the cat,",positive
Up and washed  I`m clothing myself as I type xD WOOOO,negative
 miss u too. I`m still at a club...u know...west coast ****!,negative
 love love love pot psycology. My Friday night treat,positive
Happy Star Wars Day  May the fourth be with you!,negative
_art That would be the one.  It`s awesome sauce.,positive
" I`ve never been to Prague, but if i had the money, it`ll be in the 10 first cities I visit",positive
"_ really!? that son of a ****, screw him, ill talk to on msn later k  xox",positive
" We didn`t...but we did have to wait a good twenty minutes for one.  Good night, though!",negative
 I always hope they will die out but then i see the the old ones and it makes me sad,negative
 don`t follow me. You will ruin my twitter experience,positive
Blah to car repairs... almost 600 dollars...   Shopping around for a better deal.,negative
Weetabix and Choco milk  Yum!,negative
I`m sad to have lost another person close to me to cancer,positive
_Nutbar Good morning  how are you? #TwitterTakeover,negative
"_la ben`s dreams make me so saddddddd  i want them to be togetherrr. i swear if this **** gets me bawlinggg, so help me..",negative
30 year old Barbie dolls still can rock it...that girl was H-O-T!  and Ken ain`t so bad either!  now those are memories!,negative
this weather makes my fingers numb / still waiting,negative
 LOL yeah ima mama  thanks. happy mama`s day and lakers day! i love it!,negative
http://yfrog.com/0xoxij Fry bread is good but they only gave me a little pinch of lettuce  ha ha,positive
 Its WoW! effect  Thanks for the update.,negative
"got up at 8 today, and also misses his friend ",negative
Gonna go to work with my honey today!!!! So exciting!!!,negative
_ aww thats too bad you lost it though,negative
I hate going online and looking at the balance in the bank.  its always a lot lower than I need it to be.,negative
_x How did your Geo ISU go? I swear I just had the worse day ever..,negative
"And you could have it all, my empire of dirt! I`m in a&e with dad I`m freezing fully shivering Every1 else is warm  no fones allowed ffs!",positive
Out for ultimate training. looking forward to the sunset!,negative
going to work once again. what a great few days off i had. now it`s over  but atleast i get 2 more commin up wahooooooo,negative
"'you said 'darling what happened? did I fall asleep, and you carry me home? Cuz I know I wasn`t here'' Goodnight twitterererers",negative
 I broke my ipod,negative
_banks 'Something must be wrong. Only found 17 July Harl/Sil books I wanted,negative
 Haha and you should! State pride is important,positive
" Ugh, did you just say your friend might have swine flu? OMG, why?",negative
" haha no problem, it`s fun isn`****",positive
"Finally got to wash my hair! I feel much better now, but I gotta dry it ... Effffffort.",negative
finally feel back into swing of things here at work after getting married last week! sigh of relief for no more wedding planning!,negative
 that sucks  booo.,positive
looks like we`re rained out for weekend climbing,negative
 oh ****!!,negative
 i dont really trust the judgements and vouches of _xo   jk. i`ll think about becoming a friend of yours,negative
 Jesus heals,negative
 Your birthday? WELL Happy birthday,positive
 did you tweet me? i thought i remembered seeing one but i cant see it now! SO glad teatree is ok!,negative
 Happy birthday in 2 hours and 54 minuets  Haha,positive
Glad to see it`s a typical Bank Holiday weather wise - I was going to do so much today - yeah right!,negative
 Hayley Williams is pretty much amazzing,negative
 not really having a good night... missing my little girl...,negative
  miss you captain,negative
" OI, are you mocking the fact I dont cry at tv things?!  *Feels bad*xxx",negative
is excited!  http://plurk.com/p/stk04,negative
 hmmm really??? that`s weird idk about that one  sowwy,negative
 oh that looks boring  and even more boring you have an exam on a saturday,negative
 Thanks though - am trying to be positive!!  Wine may not be helping lol!!  Wish I could make the gigs.....,negative
 i think my niece got me sickee  lame.,positive
Rise and shine  Time to get prettifide.,negative
" I tried sooooo hard to work from home today, but failed  Not my fault though.",negative
 Gosh I`ve a stinky old headache. Maybe I should have lunchfast,positive
I love my life  Ni night twitter!<3,negative
Succesfully following Tayla!!,negative
 Have fun tomorrow night. I think it will be more fun at a bar than art gallery. Wish I could be there,negative
trying to learn to tweet!!  it`s all good I hope..,negative
"Bleargh. I can never clean as much of my house as I want to before work, no matter how early I wake up. Today: sink, laundry.",negative
"Great, social network sites are still growing",negative
 So...I was half asleep when I wrote the previous message. Greatest friends !!haha  You are!!,negative
some of my new followers are pretty cool tweeps; check `em out.,negative
"no work today! went shopping, and now relaxing  &learning for the toefl",positive
 yay asap lol awwh I miss our friday night happy hours even luna del sea and the 'boy' hahahaha,negative
 Cowboy westerns...haven`t seen those in a while. good luck,positive
 It`s already over? ****!,negative
My dad knows i got drunk today. And i didnt get in trouble.,negative
" Lol - I could try!  Seriously tho, dont do all of it! That sucks! ****",positive
 **** i wanna see the rest!! i only saw like 30 minutes,positive
Happy mothers day mom!!!  i love you.,positive
"burning cd`s,,,,,,,,, **** outa blank disc`s",positive
" new album is truly genius, so happy with it",negative
 you`re alive!!!!!!  Go w/ The Notebook...it`ll make you cry and stuff,positive
 Okaii Cool!  I Can`t Wait For The Series To Begin It`s Guna Be Awesome  x,negative
crying to A Walk To Remember as usual,negative
happy star wars day everyone  off to celebrate with the family... ok we`re not celebrating it but i am going round to the famo`s...,negative
"I also have a certain CD from camp that a certain somebody gave me...  Yeah, there`s this guy in the video that`s really frickin hot!",positive
"we finally hit 1,000 friends! thanks!",negative
I`m at work....bored out of my mind.,negative
 http://twitpic.com/4l85a - best kind of gum ever! I just bought a pack,negative
The Heater blew up,positive
 i tried. and failed,negative
"  just finished mine, some parts were remarkably difficult  cramming kanji now!",negative
why is everyones tweets about britains got talent?! i feel left out,negative
yay mothers day  i love mi madre,negative
They wouldn`t reverse any of my overdraft fees.,negative
_N9ne I`m not having a good day,negative
i miss the Soulja Boy dance...,positive
"I woke up an came to the realization that I can put it off as much as I want, but I need 2 drop some friends. Dammit!",negative
11 Days left until freedom. I really just want to get through this weekend. I hate essays.,negative
  lol you guys are awesome,negative
"Home, good night world",negative
" http://twitpic.com/4vtlm - awww, she is really cute",negative
got alot of runnin around to do today to get this job app completed so they can have it on file... so glad i got this job!!,negative
lappy charger is completely dead... conserving what`s left of the battery until i can afford to buy a new one,negative
Happy Mother`s Day all of the mom`s around the world!  I love mine more than anything in the world and can`t wait to celebrate! WOO!,positive
I put a real pic of myself up. I`m going to miss the avatar.,negative
doing my folio work but keep on getting distracted by deb pics,positive
I can`t sleep. I can`t find my grandmother`s quilt or locket. I`m sick at myself cause I may have lost them somehow. Or they were stolen,negative
Had to take my bad **** dog to the pet hotel....so sad,negative
"Wow, its hot and miserable. People are probably killing themselves right about now...",negative
 Thanks mama ! I absolutely adore her,positive
" i would but he`s premiering avatar footage and can`t do it then. also, we better hang out.",negative
Home from Chelsea`s  Jam sessions = <3 = Chelsea + Abby = I luh you.,negative
we`ll be visiting my grandparents later. BTW i just heard katy perry`s HOOK UP whew so cool i love it more than k.clarkson`s version,negative
"  very sweet!!! HAHA. I am like super proud to be a new mom!!! I feel like, i got the PERFECT daughter. And i am a GREAT mom!!!",negative
gosh im bored. its early..n i wanna go..to sleeeepp why am i at work?  *kay<3*,positive
 I hate cottage cheese.  I even got some fancy stuff last weekend with lemon and berries...I could only eat half of it.,negative
" you should come to Estonia, I know some epic horses here, hehe, and a good trainer and good beaches were to ride!",negative
_jonas101 WOW they`re totally amazing and they`re more than awesome,positive
Just got laid off  stupid economy!,negative
http://twitpic.com/67i90 - My plans have been ruined,negative
"nothing better than to have your Grandaughter smile and nothing feels better than that big hug!! Grandkids, what a hoot!",positive
 oh I know. and I aprreciate it  it can be my back up plan,negative
" Yes, I would love some more cowbell!",positive
Trying to get to sleep but mum is blaring Les Mis really loudly in the sitting room,negative
"Don`t think I`m gonna be able to go to see the JB 3D Concert...wrong time, no where very close by",positive
"I`m a sad panda, hulu doesn`t have the elephant show   no Skinnamarinkydinkydink sing alongs for me.",negative
I`m gonna cry    I went bad at my History test ! I really hate History  !,negative
_ Truetrue  But he`s not! xD,negative
"Sad I missed  going away party due to too much work, but I really am gonna miss that kid",negative
One of the most random phone calls ever. My god kill me now.,positive
& more #<3criminy cuteness! http://tinyurl.com/cd8yab #sinfest,negative
"the neighborhood gas station is gone, kaput, out of business. No more convenient trips for ice or whatevs. over 3 miles now to travel..",negative
tomorrow`s mother`s day  me n my sis gonna make an onigiri for our mom~!! its gonna be so kewl!! cant wait for tomorrow >_<,negative
it makes me sad when people phones are sick,negative
taking care of sick children,negative
 welcome to my life,negative
" Same here - events + writing songs. But I just finished my TMNT vs MMPR song, so I`m excited to record that on Wednesday",positive
 oh sweet! I`ll definitely check it out when I get the chance...,negative
 Youuuu`re an aaass  my aaass loooool,negative
"I want to ride my bicycle today, but it`s too cold and cloudy today",negative
" Thank you! One day at a time, right?",negative
" I missed mine, too. Not fun...",negative
_e thanks for following me. Nice to meet you,positive
Danny cut his beautiful curls,negative
God is so good!!,negative
forcing myself to watch the movie 1984 for my book report  im lazy to read,positive
" thanks amy, its full of hotness",negative
 don`t think i can take a needle. watched a horribly gory short film on drugs a few months ago. i`m scarred for life.,negative
can`t be arsed to get out of bed  hello sunshine,negative
Every pair of jeans I own nowadays is very tight.  I think mah butt gettin big (oh!),negative
 Cheese and Onion! Vinegar taste weird on crisps! England`s got loads of weird crisps flavorus  lol.. What do you like ? x,negative
 Thank yooou! I might have to get it seen to... hm...  ****,positive
Ohh grandpas.. Stable.. Won`t kno all details til tomorrow when I visit... Keep him me and my fam in ur prayers..thank you  ... Goodnite,positive
Sore throat. This is not good. I have four performances this weekend.,negative
 it because your handwriting isnt on any of them. and everyone is making fun of me because im sitting by myseld in the lrc,positive
So disappointed about the talent lineup for 'Reventï¿½n Super Estrella 2009'...hmm...Have the feeling I won`t get tix this time around.,negative
" can I come!?   I`m Merci btw., I have always been so inspired by you since I was a teenager.",negative
 how crappy for him,negative
its freezing cold! i cant function right in this type of weather. starving to the max,positive
Anyone ever had that heavy feeling of sadness in their hearts? Thats my case rite now.,negative
_k_2k - Y!360 closing? get out!,negative
" aww if I could, I would...  GBY ;)",positive
I ate too many kisses.,negative
 Thanks for the warning. Good thing my heart is unbreakable.,negative
 ... like you`re stuff!  Strange voicemails! http://bit.ly/yKxms,negative
 Well done! Happy for ya.,positive
"True to form, Bank Holiday Monday looks like it might be rainy. Hope it holds off til later, family&friends plan walk and picnic today",negative
Thinks FML should changed to LML (love my life),positive
"Ha,  i`m giving spymaster a chance - just curious! will miss u",negative
"Loves the 2nd half of even days, orch and jazz band with daddy",negative
is tired. And turning off the Internet. You can play on it in the morning.,positive
happy star wars day,negative
Just got notified my podcast was accepted into iTunes. http://budurl.com/SBit Of course I then realized it was miss formated  Fixed now.,negative
Heyy.thnxx.or.inviting.me.to.ur.party.rob.ill.be.down.there.on.june.24th.ill.miss.u.when.u.go.to.italy....   <333333333 txt.me.hon!!!,positive
is tired of summer already,positive
 I`ve given up on pizza - kids would never let me have my fav  (the hot ones),positive
im hangin out with my cousin holly and tlkin 2 my grandparents.......  my phone went dead,positive
 Thats great,negative
i wish i could teach my dog how to play xbox!  alas...no thumbs,negative
 thanks! I`m totally bushed today though time for some coding,negative
Omg!!! Is this the sun glimpsing through the clouds?! Woohoo!,negative
" haha yea, i just feel like its being taken the wrong direction, used to be a cool place, now its a mess",negative
 shes must be a truly amazing woman for having a phenomenal son..,positive
 very nice...i cleared my head,positive
" umm get ready, help my mum, give GJ his presents when he gets up (could be a while), wait for people to arrive, then party",positive
Happy Mother`s Day mom,positive
#asylm yay registered but lost all my friends,negative
"church bellss are ringin  got to go. adieu,(god bless in german)",positive
 watching dor on utv movies again great performance,negative
did U watch the spelling bee contest ? winner: Kavya Shivshankar ! Impressive performance - i had not even heared most of the words b4,positive
 probably not in this weather,negative
 no wonder you hate driving and country roads and stuff,positive
heading out to (a long)band practice. last one before our first show on Saturday night. Hope it`s a good one  http://digg.com/u12MIW,negative
says HAPPY MOTHER`S DAY TO ALL THE MOMS OUT THERE!  http://plurk.com/p/stezd,negative
 sorry to hear your news,negative
sad.. Daniel is leaving Florida now.. just gave him a big hug,positive
it`s mother`s day...i already bought and gave my mother`s day present to my mother.,positive
Best friend is leaving to go back to school today..I am so sad,negative
has a new nick name - arosh ..i like i like,negative
 i guess you get loads of emails & people asking you stuff al the time but i seriously wonder if you ever read my comments  x,negative
Ahh... I love Chinese music. Haha.  Not gonna see my luff til Thursday...,positive
People are people...nooooo? Id never have guessed tht...idiot..im grouchy now,positive
 i see you hannah klein!. lookin good today,negative
aha _marie my brother`s wallpaper on his phone is Dolly The Sheep  aha i`m loling.,negative
Sending blessings out to ,negative
Mudweight hauled in for last time by   http://yfrog.com/0zr2jqj,negative
"i cant believes its already Monday, the weekend went by soooo fast, keeping my fingers crossed that will too",negative
"Barack Obama is a legend, just watched his dinner speach, it was pretty funny",positive
 Ouch. I won`t be down in Miami tomorrow morning. That sucks  It`s a cruise? Are you driving back the next Saturday?,negative
sadd..  last night in fl.. going back to AR tomorrow,negative
 sounds awesome..,negative
 no. my school will start on June1.  two days to go. i still don`t want. :l,positive
"Tbh having no credit in your phone sux. i cant even text people to see what`s happening, like its totally grrrsville",negative
This month was a bad month to try and get an advert together for Kobold Quarterly,negative
 I`m concerned for that family,positive
Idk i cant do ****,negative
only gets spam in her college email account now. What a way to rub in graduation.,negative
 I`m very much in tune with your words today. Thanks.,negative
 how are you gonna get them? I got bitten,negative
" I`m so sad I missed your calling time, I got home from practice too late",negative
 im jealous.  im slaving away at the store and youre chilling on the boat.,positive
I got up early to pay bills. I figured its like a bandaid if I get it over quickly it won`t be so bad... I was wrong,negative
" ooh, work im afarid  looking forward to a sunny weekeknd tho!!!",positive
putting 3 new consultants to work this week. it`s a good feeling!  congrats on your offers,negative
Just snappy`s delivered some tea and ice cream. I love my sister.,positive
FRIDAY so freakin happy today was an annoying day  buuut WEEKEND! TGIF<3,negative
 YEP  it`ll be awesome to the max =] haha,positive
"_ Heading off to Poole around 4ish,  has some serious gardening to do before we go, no Tweetdeck til Sunday evening,",negative
too sick for rigging tomorrow.,negative
Have to go to the dreaded DMV tomorrow,negative
"Is on her way to nottingham! ICOF tonight, then no more gigs umtil download. Fail",negative
 Hey! r u back in La right now?What was ur favorite part bout Europe? I`ve never been out of the country xcept Canada  XO Jenna,positive
 I wish I could have time for my xbox  project all tied,negative
 Yay I love it when you host Money For Breakfast Jenna Lee  4hrs of you the amazing and so pretty and sexy Jenna Lee yay.,negative
Gutted. The kitchen is empty literally EMPTY. No even kidding. I`m so hungry,negative
_jtv WHAT! I was only gone for 30 minutes and you`re already showing boobage without me?,negative
"  I just got through doing my work now I can take the whole day off, its great being your own boss",negative
"  poor you lmao, just stick your head out the window!",positive
 etherreal WAS my main preoccupation. Now it`s EtherREAL`s preoccupation... humm... me ? schizophrenic ?,positive
 dohh! is it old? I had never heard it.. I`m so last year..,negative
 Instrumentalists like to give singers a hard time. But the vocalist`s job is the toughest when he/she is sick.,negative
Just got the Nashville IHOP staff to hit the Dougie with me and Mayne. What a **** night,negative
I miss matt today,negative
Heading back home with a win!,negative
my stomach hurts,positive
 good luck in the pressure test! don`t worry everything will be great,negative
 I really wish I could,negative
I`m very conflicted here.  I really like Mike but I still have feelings for Darrin.  It`s really complicated.  I don`t know what to do.,negative
 noticed that yesterday too...i`m actually really happy about that  #StarTrek,negative
"Okay so yesterday was good went food shopping, cooked some chicken tacos and bakes some cookies!!!  Now I am back at work.",negative
Looking at our photo shoot pics...check out our myspace pics to see them...i love them all...,negative
"little beetle not feeling any love  Searches are bring up zilch, bar 2 peeps that appear funny !!!",positive
" Thank ye, Vaneta.  Much appreciated",negative
 LOL Me too. Going out at 12am isn`t as easy as it used to be,negative
 Quite a few. Peacocks and Oceanographer`s Choice are my new favorites to play,positive
 yeahhh! u`ve got plenty of great fans!! And in Spain too! u should come and play a gig here!!,negative
ugh! nothing to do in the valley  Seriously gotta move out of here!!!,negative
"28deg C in here, all this tech in my room does have the major downside of a lot of heat, doesn`t help its hot outside 2",negative
wow the last hour of twittering that I`ve been doing has yet to be sent over to twitter..  guys bare w me...,positive
"_leigh Thank you,!  Just trying to stay in a positive head space to keep pushing through it all. How`s things at your end?",negative
"Enjoyed this week off work, back next week",negative
 I`m come and try to find you and be your fan too,negative
 hey i know ya dont know me but i wanted to say yopu have helped me a lot i was over in iraq and i wanted to thank you,negative
Feeling very tierd! too much college work!!!!!!,negative
mmm...reconsituted meat products and week-old veggies...gotta love that rehydrated warm milk for breakfast,positive
 oh no  say it aint so,negative
thank god for some overcast and ivory. Trying to get my mom to take me out to lunch egh doesnt look like its gonna work.,positive
"  Cant Thank YOu Enough, WHo is NITIN BETWEEN?",positive
 well piss on that. I can`t get into their site @ work nor does it come thru on my phone.,positive
http://twitpic.com/670ar - this is post guitar hero **** kicking,negative
 i dont like #kde since ver. 4.0 its like vista  #fail,negative
"I need some motivation in my life, oh and some love would be nice too",positive
 welcome,negative
"I can`t wait to start my weekend. I`m so sick of working, I have to self-medicate, and I`m fresh out of herb",negative
_Itx no credits for me unfortunately!,positive
" It`s ugly and gray outside even in San Diego. Not too cold, will get to 70, but May-gray June-gloom for us all",negative
cookies are good,negative
" He loved it, so Happy Birthday!!!   He said you sounded like a mixture of John Lennon, Chrissie Hynde, and Janis Joplin.",negative
"_griffiths There was a good atmos. I decided to stay til closing, very funny!",negative
  supporting superfly all the way,negative
" I would lime them. Or lemon?  And deal, sounds fabulous to me!  Text me up when you`re back",positive
Why don`t you make me feel like you used to,positive
 unfortunately I didn`t leave the house in time,negative
when da heck will the garage man get here I ask you.. WHEN..,negative
"Hey, hey, happy mother`s day!  http://plurk.com/p/svwii",positive
_alfradique No fun   Well hopefully you don`t have much more to go...,positive
mothers day...love you madre   chels tonight. cant wait for her to see her present!,negative
Conference call with HP.  They gave me an invalid pass code so I can`t attend,negative
 FUZE was giving away capes at Komen`s Race for the Cure today! And I`d always love a hug from you hun!,positive
The lab informs me the logic board is dead as well. It is farking expensive to replace. I don`t know what to do.  #MyPowerBookG4RIP,negative
We just hit 10000 views on myspace! Thanks everyone!,negative
I`m not ready for my baby to be 3 tomorrow  she is growing so fast....,negative
lao mein and spanikopita HAHA you would have to be here to know,positive
 PS: Wish I were coming tonight.,negative
i hate feeling like this about him  i need a break away from everyone... as soon as exams are over i`m defo off to portsmouth for a bit,negative
goodmorning everyone,negative
 what did you think of the finale?  I thought it was kind of a cheap way out,negative
"Long day of dancin, travelin, and celebrating life  happy mothers day!!",negative
Why am I always the one on time. They are always late. I wanna sleep. I miss Mere.,positive
 I want an invite - sick of seeing all these links for people playing and being left out,negative
I miss my puppy,negative
in San Jose.   having good time w/ bros.  Also helped dad edit next  Holy Land brochure. wish I could go!,negative
 how`s the fam? Well I hope.,positive
">>Why did the Blonde Keep failing her drivers license test-------->>>>>Everytime they stopped, she jumped in the back seat.",negative
 Come to Rochester with me and Nikki. Beer and a Hog Roast always helps.,positive
  Thank you!,positive
He put a **** mohawk in my son head.....he just killed my vibe as always,positive
"Well, she`s getting through.",positive
No kickboxing classes today  pretty bummed. Still going to work out hard. http://myloc.me/1ZT0,positive
all alone for the weekend!,negative
Poor dead Josh.  http://bit.ly/JKpHn  Please leave your messages of condolences there.  #boy #rip,negative
watching the rain and reminiscing about the time when everytime it rained I was with the love of my life.,negative
This is how much hair falls off everytime I shower. It`s more sad than disgusting  http://yfrog.com/6p190aj,negative
"pff, Life sucks sometimes!",negative
Wish I had a laptop charger so I could tweet faster,negative
"Waaah, asshat at CVS yesterday shortchanged me  I paid 10$ for chips.",negative
 Happy Mom`s Day!  Here in Spain it was last Sunday!! Any hint of when the first single will be out on radio? LYM!!  Mini,positive
 not sexy with 2 tubes sticking out of my stomach  but thanks !,negative
listening to David Archuleta album it`s amazing,negative
 aww...thats a bummer,negative
I dont wanna im to spanish today,positive
"yep, good morning to you all  or night or evening or whatever xD",negative
WORKK! yay,negative
" Aww, thank you Soulmate! Haha.",positive
"cars,,,,cars....cars.....I need one. ha ha. The one I found last night, that I wanted so bad! is now sold. And not to me",positive
 (RE:'your joint w/  is crazy!!') Thx    Hey Trax heard a 49er rear ended you??,negative
_za thanks man. I can`t wait,negative
I`ve been to Best Buy & Target and still no Electrik Red album! I`m loosing hope..they`ve never even heard of the girls,negative
" i was sent home yest from work, when in again today but feel like hell and burning up with a high temp, got it off hubby",positive
Great exercise for a Sunday morning: 'stopping the wheel of karma' (R.A.W.) and transforming negativity into love... Life!,negative
 yes yes yes lotsa fun  i cant wait. dont like make up with shaun too much in front of me tho cos ill get awkard haha,negative
 Thank you Kirst - your posts on running inspired me,negative
I wanna crawl under my desk and take a nap  nvrmind its dirty =/,negative
okay someplease save me!!! now I am watching ninja warrier and eating an egg roll from last night,negative
HAPPY MOTHERS DAY 2 ME,negative
 Excellent point.,positive
 oh and twas my very brilliant idea if I do say so myself  what can I say i`m an ideas woman,negative
Good Morning! 'RETURN TO WILLEN ISLAND - Spring has most definitely sprung' ... http://bit.ly/EyRtT ... enjoy,negative
Watching One Fine Day while eating my cereal. Start a good sunday with a good movie,negative
OMG sore shoulder,positive
 You`re welcome! Cutie-pie kiddo.. in your picture btw  Love those shades!,positive
goin ta bed now!   goodnite jessica,positive
 lmao you witty wacko...loves it,negative
" I refuse to get excited as I don`t want to be let down  if it happens, as long as it`s not between June 11 - 28 or I`d die",negative
"`If I don`t believe in Him, why would He believe in me?` -Bring Me The Horizon  A chill goes down my spine whenever I hear that line.",positive
"@_xotashhh I love having days off school, I had one on friday too",positive
 u never sent me carrie. ur an ****. but an **** that i miss,positive
theres too much light pollution to see the stars,negative
sick n tired of people who steal other people`s work,positive
 I`m having trouble viewing it as well on you tube for some reason,negative
if i wasnt workin in 5 hours id be gettin ratarsed to the point where i couldnt even see let alone stand up...THAT is how **** i feel,positive
" #warmfuzzies to you, my friend",negative
@_supernatural_ http://twitpic.com/66l83 - I really miss her.,negative
happy sunday all,negative
 Please let me know if it is allright DE i need to know but first just wake up a little and enjoy the cofee  ****,negative
 well maybe someone will care,positive
"   Awww, that wasn`t very nice.",positive
slaving away at work,positive
"For US tweeps, don`t forget to call your mom today...",positive
 haha i agree ! i am her test dummy. i just go in and say 'do whatever you want' and i always love it.  she is magic!,negative
" ****, i dont have 2 work saturday, & i was suppose 2 hang out with my friend & watch it. we can still hang out but no JONAS =",negative
Going to tmobile  i need a new phone this G1 is so not working for me anymore,negative
 OOO YUK !! thats not good Im retching as we tweet,negative
 120mm films usually handled at Fuji  Oh I met a girl at San Diego. Kwento soon. I miss youuu!,positive
"That seized bolt, ya it`s still stuck! The bushing is actually seized to the bolt, very very lame   Perhaps some heat will work?",negative
 Hearing that my songs brighten someone`s day always makes ME grin.,negative
Hates having broken wrist and has PE next ugh,positive
watching SNL with guess Justin Timberlake...OMG! He is too funny!  hahahah,negative
Well off 2 bed...cant wait 2 party 4 Mother`s Day in like 14 hours or so,negative
is gonna be mad hungry when I get home. Forgot my money...,negative
#bouvierb-day is on trending topics. ahh Happy Birthday Pierre Bouvier,negative
http://skipall.com/8p.png  The come apart easy enough,positive
sadly  brother told me there are no skateparks where he lives. BUMMER!,positive
Heaos keen for next weekend.        Mummy. <3,negative
i hate stupid boys! arrgh,negative
 I hope you didn`t take that quote personally!! I`ve been throwing them out here and there all day-guess I shoulda waited a bit,positive
 sounds like you`re having a great time,negative
